Node Number,Node Name,Node Type,vehicle direction,X coordinate,Y coordinate,Neighbor Nodes,Neighbor Nodes2
1,Y.1.1,Entry,southside,1054,17,Y.1.2,
2,Y.1.2,Intermediate ,southside,1054,47,Y.1.3,
3,Y.1.3,Intermediate ,southside,1054,77,Y.1.4,
4,Y.1.4,Intermediate ,southside,1054,107,Y.1.5,
5,Y.1.5,Intermediate ,southside,1054,137,Y.1.6,
6,Y.1.6,Intermediate ,southside,1054,167,Y.1.7,
7,Y.1.7,Intermediate ,southside,1054,197,Y.1.8,
8,Y.1.8,Intermediate ,southside,1054,227,Y.1.9,
9,Y.1.9,Traffic_Controller,southside,1054,257,C.1.1,C.1.17
10,Y.1.10,Intermediate ,southside,1054,411,Y.1.11,
11,Y.1.11,Intermediate ,southside,1054,441,Y.1.12,
12,Y.1.12,Intermediate ,southside,1054,471,Y.1.13,
13,Y.1.13,Intermediate ,southside,1054,501,Y.1.14,
14,Y.1.14,Intermediate ,southside,1054,531,Y.1.15,
15,Y.1.15,Intermediate ,southside,1054,561,Y.1.16,
16,Y.1.16,Traffic_Controller,southside,1054,591,C.3.1,C.3.17
17,Y.1.17,Intermediate ,southside,1054,747,Y.1.18,
18,Y.1.18,Intermediate ,southside,1054,777,Y.1.19,
19,Y.1.19,Intermediate ,southside,1054,807,Y.1.20,
20,Y.1.20,Intermediate ,southside,1054,837,Y.1.21,
21,Y.1.21,Intermediate ,southside,1054,867,Y.1.22,
22,Y.1.22,Intermediate ,southside,1054,897,Y.1.23,
23,Y.1.23,Intermediate ,southside,1054,927,Y.1.24,
24,Y.1.24,Intermediate ,southside,1054,957,Y.1.25,
25,Y.1.25,Intermediate ,southside,1054,987,Y.1.26,
26,Y.1.26,Exit,southside,1054,1017,,
27,Y.2.1,Entry,southside,1081,17,Y.2.2,
28,Y.2.2,Intermediate ,southside,1081,47,Y.2.3,
29,Y.2.3,Intermediate ,southside,1081,77,Y.2.4,
30,Y.2.4,Intermediate ,southside,1081,107,Y.2.5,
31,Y.2.5,Intermediate ,southside,1081,137,Y.2.6,
32,Y.2.6,Intermediate ,southside,1081,167,Y.2.7,
33,Y.2.7,Intermediate ,southside,1081,197,Y.2.8,
34,Y.2.8,Intermediate ,southside,1081,227,Y.2.9,
35,Y.2.9,Turning_Lanes,southside,1081,257,C.1.10,
36,Y.2.10,Intermediate ,southside,1081,411,Y.2.11,
37,Y.2.11,Intermediate ,southside,1081,441,Y.2.12,
38,Y.2.12,Intermediate ,southside,1081,471,Y.2.13,
39,Y.2.13,Intermediate ,southside,1081,501,Y.2.14,
40,Y.2.14,Intermediate ,southside,1081,531,Y.2.15,
41,Y.2.15,Intermediate ,southside,1081,561,Y.2.16,
42,Y.2.16,Turning_Lanes,southside,1081,591,C.3.10,
43,Y.2.17,Intermediate ,southside,1081,747,Y.2.18,
44,Y.2.18,Intermediate ,southside,1081,777,Y.2.19,
45,Y.2.19,Intermediate ,southside,1081,807,Y.2.20,
46,Y.2.20,Intermediate ,southside,1081,837,Y.2.21,
47,Y.2.21,Intermediate ,southside,1081,867,Y.2.22,
48,Y.2.22,Intermediate ,southside,1081,897,Y.2.23,
49,Y.2.23,Intermediate ,southside,1081,927,Y.2.24,
50,Y.2.24,Intermediate ,southside,1081,957,Y.2.25,
51,Y.2.25,Intermediate ,southside,1081,987,Y.2.26,
52,Y.2.26,Exit,southside,1081,1017,,
53,Y.3.1,Exit,northside,1111,17,,
54,Y.3.2,Intermediate ,northside,1111,47,Y.3.1,
55,Y.3.3,Intermediate ,northside,1111,77,Y.3.2,
56,Y.3.4,Intermediate ,northside,1111,107,Y.3.3,
57,Y.3.5,Intermediate ,northside,1111,137,Y.3.4,
58,Y.3.6,Intermediate ,northside,1111,167,Y.3.5,
59,Y.3.7,Intermediate ,northside,1111,197,Y.3.6,
60,Y.3.8,Intermediate ,northside,1111,227,Y.3.7,
61,Y.3.9,Intermediate ,northside,1111,257,Y.3.8,
62,Y.3.10,Turning_Lanes,northside,1111,411,C.1.7,
63,Y.3.11,Intermediate ,northside,1111,441,Y.3.10,
64,Y.3.12,Intermediate ,northside,1111,471,Y.3.11,
65,Y.3.13,Intermediate ,northside,1111,501,Y.3.12,
66,Y.3.14,Intermediate ,northside,1111,531,Y.3.13,
67,Y.3.15,Intermediate ,northside,1111,561,Y.3.14,
68,Y.3.16,Intermediate ,northside,1111,591,Y.3.15,
69,Y.3.17,Turning_Lanes,northside,1111,747,C.3.7,
70,Y.3.18,Intermediate ,northside,1111,777,Y.3.17,
71,Y.3.19,Intermediate ,northside,1111,807,Y.3.18,
72,Y.3.20,Intermediate ,northside,1111,837,Y.3.19,
73,Y.3.21,Intermediate ,northside,1111,867,Y.3.20,
74,Y.3.22,Intermediate ,northside,1111,897,Y.3.21,
75,Y.3.23,Intermediate ,northside,1111,927,Y.3.22,
76,Y.3.24,Intermediate ,northside,1111,957,Y.3.23,
77,Y.3.25,Intermediate ,northside,1111,987,Y.3.24,
78,Y.3.26,Entry,northside,1111,1017,Y.3.25,
79,Y.4.1,Exit,northside,1137,17,,
80,Y.4.2,Intermediate ,northside,1137,47,Y.4.1,
81,Y.4.3,Intermediate ,northside,1137,77,Y.4.2,
82,Y.4.4,Intermediate ,northside,1137,107,Y.4.3,
83,Y.4.5,Intermediate ,northside,1137,137,Y.4.4,
84,Y.4.6,Intermediate ,northside,1137,167,Y.4.5,
85,Y.4.7,Intermediate ,northside,1137,197,Y.4.6,
86,Y.4.8,Intermediate ,northside,1137,227,Y.4.7,
87,Y.4.9,Intermediate ,northside,1137,257,Y.4.8,
88,Y.4.10,Traffic_Controller,northside,1137,411,C.1.16,C.1.20
89,Y.4.11,Intermediate ,northside,1137,441,Y.4.10,
90,Y.4.12,Intermediate ,northside,1137,471,Y.4.11,
91,Y.4.13,Intermediate ,northside,1137,501,Y.4.12,
92,Y.4.14,Intermediate ,northside,1137,531,Y.4.13,
93,Y.4.15,Intermediate ,northside,1137,561,Y.4.14,
94,Y.4.16,Intermediate ,northside,1137,591,Y.4.15,
95,Y.4.17,Traffic_Controller,northside,1137,747,C.3.16,C.3.20
96,Y.4.18,Intermediate ,northside,1137,777,Y.4.17,
97,Y.4.19,Intermediate ,northside,1137,807,Y.4.18,
98,Y.4.20,Intermediate ,northside,1137,837,Y.4.19,
99,Y.4.21,Intermediate ,northside,1137,867,Y.4.20,
100,Y.4.22,Intermediate ,northside,1137,897,Y.4.21,
101,Y.4.23,Intermediate ,northside,1137,927,Y.4.22,
102,Y.4.24,Intermediate ,northside,1137,957,Y.4.23,
103,Y.4.25,Intermediate ,northside,1137,987,Y.4.24,
104,Y.4.26,Entry,northside,1137,1017,Y.4.25,
105,Y.5.1,Entry,southside,1348,17,Y.5.2,
106,Y.5.2,Intermediate ,southside,1348,47,Y.5.3,
107,Y.5.3,Intermediate ,southside,1348,77,Y.5.4,
108,Y.5.4,Intermediate ,southside,1348,107,Y.5.5,
109,Y.5.5,Intermediate ,southside,1348,137,Y.5.6,
110,Y.5.6,Intermediate ,southside,1348,167,Y.5.7,
111,Y.5.7,Intermediate ,southside,1348,197,Y.5.8,
112,Y.5.8,Intermediate ,southside,1348,227,Y.5.9,
113,Y.5.9,Traffic_Controller,southside,1348,257,C.2.1,C.2.17
114,Y.5.10,Intermediate ,southside,1348,411,Y.5.11,
115,Y.5.11,Intermediate ,southside,1348,441,Y.5.12,
116,Y.5.12,Intermediate ,southside,1348,471,Y.5.13,
117,Y.5.13,Intermediate ,southside,1348,501,Y.5.14,
118,Y.5.14,Intermediate ,southside,1348,531,Y.5.15,
119,Y.5.15,Intermediate ,southside,1348,561,Y.5.16,
120,Y.5.16,Traffic_Controller,southside,1348,591,C.4.1,C.4.17
121,Y.5.17,Intermediate ,southside,1348,747,Y.5.18,
122,Y.5.18,Intermediate ,southside,1348,777,Y.5.19,
123,Y.5.19,Intermediate ,southside,1348,807,Y.5.20,
124,Y.5.20,Intermediate ,southside,1348,837,Y.5.21,
125,Y.5.21,Intermediate ,southside,1348,867,Y.5.22,
126,Y.5.22,Intermediate ,southside,1348,897,Y.5.23,
127,Y.5.23,Intermediate ,southside,1348,927,Y.5.24,
128,Y.5.24,Intermediate ,southside,1348,957,Y.5.25,
129,Y.5.25,Intermediate ,southside,1348,987,Y.5.26,
130,Y.5.26,Exit,southside,1348,1017,,
131,Y.6.1,Entry,southside,1375,17,Y.6.2,
132,Y.6.2,Intermediate ,southside,1375,47,Y.6.3,
133,Y.6.3,Intermediate ,southside,1375,77,Y.6.4,
134,Y.6.4,Intermediate ,southside,1375,107,Y.6.5,
135,Y.6.5,Intermediate ,southside,1375,137,Y.6.6,
