<<<<<<< HEAD
Node Number,Node Name,Node Type,vehicle direction,X coordinate,Y coordinate,Neighbor Nodes,Neighbor Nodes2, Pair Type, Cam Type
1,V.1.1,Entry,southside,224,17,V.1.2,,,
2,V.1.2,Intermediate ,southside,224,47,V.1.3,,,
3,V.1.3,Intermediate ,southside,224,77,V.1.4,,,
4,V.1.4,Intermediate ,southside,224,107,V.1.5,,,
5,V.1.5,Intermediate ,southside,224,137,V.1.6,,,
6,V.1.6,Intermediate ,southside,224,167,V.1.7,,,
7,V.1.7,Intermediate ,southside,224,197,V.1.8,,,
8,V.1.8,Intermediate ,southside,224,227,V.1.9,,,
9,V.1.9,Traffic_Controller,southside,224,257,M.1.1,M.1.17,A,1
10,V.1.10,Intermediate ,southside,224,411,V.1.11,,,
11,V.1.11,Intermediate ,southside,224,441,V.1.12,,,
12,V.1.12,Intermediate ,southside,224,471,V.1.13,,,
13,V.1.13,Intermediate ,southside,224,501,V.1.14,,,
14,V.1.14,Intermediate ,southside,224,531,V.1.15,,,
15,V.1.15,Intermediate ,southside,224,561,V.1.16,,,
16,V.1.16,Traffic_Controller,southside,224,591,M.3.1,M.3.17,I,17
17,V.1.17,Intermediate ,southside,224,747,V.1.18,,,
18,V.1.18,Intermediate ,southside,224,777,V.1.19,,,
19,V.1.19,Intermediate ,southside,224,807,V.1.20,,,
20,V.1.20,Intermediate ,southside,224,837,V.1.21,,,
21,V.1.21,Intermediate ,southside,224,867,V.1.22,,,
22,V.1.22,Intermediate ,southside,224,897,V.1.23,,,
23,V.1.23,Intermediate ,southside,224,927,V.1.24,,,
24,V.1.24,Intermediate ,southside,224,957,V.1.25,,,
25,V.1.25,Intermediate ,southside,224,987,V.1.26,,,
26,V.1.26,Exit,southside,224,1017,,,,
27,V.2.1,Entry,southside,251,17,V.2.2,,,
28,V.2.2,Intermediate ,southside,251,47,V.2.3,,,
29,V.2.3,Intermediate ,southside,251,77,V.2.4,,,
30,V.2.4,Intermediate ,southside,251,107,V.2.5,,,
31,V.2.5,Intermediate ,southside,251,137,V.2.6,,,
32,V.2.6,Intermediate ,southside,251,167,V.2.7,,,
33,V.2.7,Intermediate ,southside,251,197,V.2.8,,,
34,V.2.8,Intermediate ,southside,251,227,V.2.9,,,
35,V.2.9,Turning_Lanes,southside,251,257,M.1.10,,B,2
36,V.2.10,Intermediate ,southside,251,411,V.2.11,,,
37,V.2.11,Intermediate ,southside,251,441,V.2.12,,,
38,V.2.12,Intermediate ,southside,251,471,V.2.13,,,
39,V.2.13,Intermediate ,southside,251,501,V.2.14,,,
40,V.2.14,Intermediate ,southside,251,531,V.2.15,,,
41,V.2.15,Intermediate ,southside,251,561,V.2.16,,,
42,V.2.16,Turning_Lanes,southside,251,591,M.3.10,,J,18
43,V.2.17,Intermediate ,southside,251,747,V.2.18,,,
44,V.2.18,Intermediate ,southside,251,777,V.2.19,,,
45,V.2.19,Intermediate ,southside,251,807,V.2.20,,,
46,V.2.20,Intermediate ,southside,251,837,V.2.21,,,
47,V.2.21,Intermediate ,southside,251,867,V.2.22,,,
48,V.2.22,Intermediate ,southside,251,897,V.2.23,,,
49,V.2.23,Intermediate ,southside,251,927,V.2.24,,,
50,V.2.24,Intermediate ,southside,251,957,V.2.25,,,
51,V.2.25,Intermediate ,southside,251,987,V.2.26,,,
52,V.2.26,Exit,southside,251,1017,,,,
53,V.3.1,Exit,northside,281,17,,,,
54,V.3.2,Intermediate ,northside,281,47,V.3.1,,,
55,V.3.3,Intermediate ,northside,281,77,V.3.2,,,
56,V.3.4,Intermediate ,northside,281,107,V.3.3,,,
57,V.3.5,Intermediate ,northside,281,137,V.3.4,,,
58,V.3.6,Intermediate ,northside,281,167,V.3.5,,,
59,V.3.7,Intermediate ,northside,281,197,V.3.6,,,
60,V.3.8,Intermediate ,northside,281,227,V.3.7,,,
61,V.3.9,Intermediate ,northside,281,257,V.3.8,,,
62,V.3.10,Turning_Lanes,northside,281,411,M.1.7,,B,6
63,V.3.11,Intermediate ,northside,281,441,V.3.10,,,
64,V.3.12,Intermediate ,northside,281,471,V.3.11,,,
65,V.3.13,Intermediate ,northside,281,501,V.3.12,,,
66,V.3.14,Intermediate ,northside,281,531,V.3.13,,,
67,V.3.15,Intermediate ,northside,281,561,V.3.14,,,
68,V.3.16,Intermediate ,northside,281,591,V.3.15,,,
69,V.3.17,Turning_Lanes,northside,281,747,M.3.7,,J,22
70,V.3.18,Intermediate ,northside,281,777,V.3.17,,,
71,V.3.19,Intermediate ,northside,281,807,V.3.18,,,
72,V.3.20,Intermediate ,northside,281,837,V.3.19,,,
73,V.3.21,Intermediate ,northside,281,867,V.3.20,,,
74,V.3.22,Intermediate ,northside,281,897,V.3.21,,,
75,V.3.23,Intermediate ,northside,281,927,V.3.22,,,
76,V.3.24,Intermediate ,northside,281,957,V.3.23,,,
77,V.3.25,Intermediate ,northside,281,987,V.3.24,,,
78,V.3.26,Entry,northside,281,1017,V.3.25,,,
79,V.4.1,Exit,northside,307,17,,,,
80,V.4.2,Intermediate ,northside,307,47,V.4.1,,,
81,V.4.3,Intermediate ,northside,307,77,V.4.2,,,
82,V.4.4,Intermediate ,northside,307,107,V.4.3,,,
83,V.4.5,Intermediate ,northside,307,137,V.4.4,,,
84,V.4.6,Intermediate ,northside,307,167,V.4.5,,,
85,V.4.7,Intermediate ,northside,307,197,V.4.6,,,
86,V.4.8,Intermediate ,northside,307,227,V.4.7,,,
87,V.4.9,Intermediate ,northside,307,257,V.4.8,,,
88,V.4.10,Traffic_Controller,northside,307,411,M.1.16,M.1.20,A,5
89,V.4.11,Intermediate ,northside,307,441,V.4.10,,,
90,V.4.12,Intermediate ,northside,307,471,V.4.11,,,
91,V.4.13,Intermediate ,northside,307,501,V.4.12,,,
92,V.4.14,Intermediate ,northside,307,531,V.4.13,,,
93,V.4.15,Intermediate ,northside,307,561,V.4.14,,,
94,V.4.16,Intermediate ,northside,307,591,V.4.15,,,
95,V.4.17,Traffic_Controller,northside,307,747,M.3.16,M.3.20,I,21
96,V.4.18,Intermediate ,northside,307,777,V.4.17,,,
97,V.4.19,Intermediate ,northside,307,807,V.4.18,,,
98,V.4.20,Intermediate ,northside,307,837,V.4.19,,,
99,V.4.21,Intermediate ,northside,307,867,V.4.20,,,
100,V.4.22,Intermediate ,northside,307,897,V.4.21,,,
101,V.4.23,Intermediate ,northside,307,927,V.4.22,,,
102,V.4.24,Intermediate ,northside,307,957,V.4.23,,,
103,V.4.25,Intermediate ,northside,307,987,V.4.24,,,
104,V.4.26,Entry,northside,307,1017,V.4.25,,,
105,V.5.1,Entry,southside,518,17,V.5.2,,,
106,V.5.2,Intermediate ,southside,518,47,V.5.3,,,
107,V.5.3,Intermediate ,southside,518,77,V.5.4,,,
108,V.5.4,Intermediate ,southside,518,107,V.5.5,,,
109,V.5.5,Intermediate ,southside,518,137,V.5.6,,,
110,V.5.6,Intermediate ,southside,518,167,V.5.7,,,
111,V.5.7,Intermediate ,southside,518,197,V.5.8,,,
112,V.5.8,Intermediate ,southside,518,227,V.5.9,,,
113,V.5.9,Traffic_Controller,southside,518,257,M.2.1,M.2.17,E,9
114,V.5.10,Intermediate ,southside,518,411,V.5.11,,,
115,V.5.11,Intermediate ,southside,518,441,V.5.12,,,
116,V.5.12,Intermediate ,southside,518,471,V.5.13,,,
117,V.5.13,Intermediate ,southside,518,501,V.5.14,,,
118,V.5.14,Intermediate ,southside,518,531,V.5.15,,,
119,V.5.15,Intermediate ,southside,518,561,V.5.16,,,
120,V.5.16,Traffic_Controller,southside,518,591,M.4.1,M.4.17,M,25
121,V.5.17,Intermediate ,southside,518,747,V.5.18,,,
122,V.5.18,Intermediate ,southside,518,777,V.5.19,,,
123,V.5.19,Intermediate ,southside,518,807,V.5.20,,,
124,V.5.20,Intermediate ,southside,518,837,V.5.21,,,
125,V.5.21,Intermediate ,southside,518,867,V.5.22,,,
126,V.5.22,Intermediate ,southside,518,897,V.5.23,,,
127,V.5.23,Intermediate ,southside,518,927,V.5.24,,,
128,V.5.24,Intermediate ,southside,518,957,V.5.25,,,
129,V.5.25,Intermediate ,southside,518,987,V.5.26,,,
130,V.5.26,Exit,southside,518,1017,,,,
131,V.6.1,Entry,southside,545,17,V.6.2,,,
132,V.6.2,Intermediate ,southside,545,47,V.6.3,,,
133,V.6.3,Intermediate ,southside,545,77,V.6.4,,,
134,V.6.4,Intermediate ,southside,545,107,V.6.5,,,
135,V.6.5,Intermediate ,southside,545,137,V.6.6,,,
136,V.6.6,Intermediate ,southside,545,167,V.6.7,,,
137,V.6.7,Intermediate ,southside,545,197,V.6.8,,,
138,V.6.8,Intermediate ,southside,545,227,V.6.9,,,
139,V.6.9,Turning_Lanes,southside,545,257,M.2.10,,F,10
140,V.6.10,Intermediate ,southside,545,411,V.6.11,,,
141,V.6.11,Intermediate ,southside,545,441,V.6.12,,,
142,V.6.12,Intermediate ,southside,545,471,V.6.13,,,
143,V.6.13,Intermediate ,southside,545,501,V.6.14,,,
144,V.6.14,Intermediate ,southside,545,531,V.6.15,,,
145,V.6.15,Intermediate ,southside,545,561,V.6.16,,,
146,V.6.16,Turning_Lanes,southside,545,591,M.4.10,,N,26
147,V.6.17,Intermediate ,southside,545,747,V.6.18,,,
148,V.6.18,Intermediate ,southside,545,777,V.6.19,,,
149,V.6.19,Intermediate ,southside,545,807,V.6.20,,,
150,V.6.20,Intermediate ,southside,545,837,V.6.21,,,
151,V.6.21,Intermediate ,southside,545,867,V.6.22,,,
152,V.6.22,Intermediate ,southside,545,897,V.6.23,,,
153,V.6.23,Intermediate ,southside,545,927,V.6.24,,,
154,V.6.24,Intermediate ,southside,545,957,V.6.25,,,
155,V.6.25,Intermediate ,southside,545,987,V.6.26,,,
156,V.6.26,Exit,southside,545,1017,,,,
157,V.7.1,Exit,northside,575,17,,,,
158,V.7.2,Intermediate ,northside,575,47,V.7.1,,,
159,V.7.3,Intermediate ,northside,575,77,V.7.2,,,
160,V.7.4,Intermediate ,northside,575,107,V.7.3,,,
161,V.7.5,Intermediate ,northside,575,137,V.7.4,,,
162,V.7.6,Intermediate ,northside,575,167,V.7.5,,,
163,V.7.7,Intermediate ,northside,575,197,V.7.6,,,
164,V.7.8,Intermediate ,northside,575,227,V.7.7,,,
165,V.7.9,Intermediate ,northside,575,257,V.7.8,,,
166,V.7.10,Turning_Lanes,northside,575,411,M.2.7,,F,14
167,V.7.11,Intermediate ,northside,575,441,V.7.10,,,
168,V.7.12,Intermediate ,northside,575,471,V.7.11,,,
169,V.7.13,Intermediate ,northside,575,501,V.7.12,,,
170,V.7.14,Intermediate ,northside,575,531,V.7.13,,,
171,V.7.15,Intermediate ,northside,575,561,V.7.14,,,
172,V.7.16,Intermediate ,northside,575,591,V.7.15,,,
173,V.7.17,Turning_Lanes,northside,575,747,M.4.7,,N,30
174,V.7.18,Intermediate ,northside,575,777,V.7.17,,,
175,V.7.19,Intermediate ,northside,575,807,V.7.18,,,
176,V.7.20,Intermediate ,northside,575,837,V.7.19,,,
177,V.7.21,Intermediate ,northside,575,867,V.7.20,,,
178,V.7.22,Intermediate ,northside,575,897,V.7.21,,,
179,V.7.23,Intermediate ,northside,575,927,V.7.22,,,
180,V.7.24,Intermediate ,northside,575,957,V.7.23,,,
181,V.7.25,Intermediate ,northside,575,987,V.7.24,,,
182,V.7.26,Entry,northside,575,1017,V.7.25,,,
183,V.8.1,Exit,northside,602,17,,,,
184,V.8.2,Intermediate ,northside,602,47,V.8.1,,,
185,V.8.3,Intermediate ,northside,602,77,V.8.2,,,
186,V.8.4,Intermediate ,northside,602,107,V.8.3,,,
187,V.8.5,Intermediate ,northside,602,137,V.8.4,,,
188,V.8.6,Intermediate ,northside,602,167,V.8.5,,,
189,V.8.7,Intermediate ,northside,602,197,V.8.6,,,
190,V.8.8,Intermediate ,northside,602,227,V.8.7,,,
191,V.8.9,Intermediate ,northside,602,257,V.8.8,,,
192,V.8.10,Traffic_Controller,northside,602,411,M.2.16,M.2.20,E,13
193,V.8.11,Intermediate ,northside,602,441,V.8.10,,,
194,V.8.12,Intermediate ,northside,602,471,V.8.11,,,
195,V.8.13,Intermediate ,northside,602,501,V.8.12,,,
196,V.8.14,Intermediate ,northside,602,531,V.8.13,,,
197,V.8.15,Intermediate ,northside,602,561,V.8.14,,,
198,V.8.16,Intermediate ,northside,602,591,V.8.15,,,
199,V.8.17,Traffic_Controller,northside,602,747,M.4.16,M.4.20,M,29
200,V.8.18,Intermediate ,northside,602,777,V.8.17,,,
201,V.8.19,Intermediate ,northside,602,807,V.8.18,,,
202,V.8.20,Intermediate ,northside,602,837,V.8.19,,,
203,V.8.21,Intermediate ,northside,602,867,V.8.20,,,
204,V.8.22,Intermediate ,northside,602,897,V.8.21,,,
205,V.8.23,Intermediate ,northside,602,927,V.8.22,,,
206,V.8.24,Intermediate ,northside,602,957,V.8.23,,,
207,V.8.25,Intermediate ,northside,602,987,V.8.24,,,
208,V.8.26,Entry,northside,602,1017,V.8.25,,,
209,H.1.1,Exit,westside,4,298,,,,
210,H.1.2,Intermediate ,westside,34,298,H.1.1,,,
211,H.1.3,Intermediate ,westside,64,298,H.1.2,,,
212,H.1.4,Intermediate ,westside,94,298,H.1.3,,,
213,H.1.5,Intermediate ,westside,124,298,H.1.4,,,
214,H.1.6,Intermediate ,westside,154,298,H.1.5,,,
215,H.1.7,Intermediate ,westside,184,298,H.1.6,,,
216,H.1.8,Traffic_Controller,westside,351,298,M.1.4,M.1.18,C,3
217,H.1.9,Intermediate ,westside,381,298,H.1.8,,,
218,H.1.10,Intermediate ,westside,411,298,H.1.9,,,
219,H.1.11,Intermediate ,westside,441,298,H.1.10,,,
220,H.1.12,Intermediate ,westside,471,298,H.1.11,,,
221,H.1.13,Traffic_Controller,westside,630,298,M.2.4,M.1.18,G,11
