VehicleType,SpawnTime,ElapsedTime,NodesPassedCount,Speed,NodesSequence
Truck,174402669.759,3.914,18,2.800,X.6.19;X.6.18;X.6.17;X.6.16;X.6.15;X.6.14;X.6.13;C.4.6;C.4.9;Y.5.17;Y.5.18;Y.5.19;Y.5.20;Y.5.21;Y.5.22;Y.5.23;Y.5.24;Y.5.25;Y.5.26
Car,1744092668.208,6.740,24,2.000,Y.5.1;Y.5.2;Y.5.3;Y.5.4;Y.5.5;Y.5.6;Y.5.7;Y.5.8;Y.5.9;C.2.17;X.1.12;X.1.11;X.1.10;X.1.9;X.1.8;C.1.18;Y.4.9;Y.4.8;Y.4.7;Y.4.6;Y.4.5;Y.4.4;Y.4.3;Y.4.2;Y.4.1
Truck,1744092672.942,5.183,27,2.800,X.4.1;X.4.2;X.4.3;X.4.4;X.4.5;X.4.6;X.4.7;C.1.19;Y.1.10;Y.1.11;Y.1.12;Y.1.13;Y.1.14;Y.1.15;Y.1.16;C.3.1;C.3.5;C.3.9;Y.1.17;Y.1.18;Y.1.19;Y.1.20;Y.1.21;Y.1.22;Y.1.23;Y.1.24;Y.1.25;Y.1.26
Car,1744092674.420,5.284,17,2.000,X.3.1;X.3.2;X.3.3;X.3.4;X.3.5;X.3.6;X.3.7;C.1.11;C.1.8;Y.4.9;Y.4.8;Y.4.7;Y.4.6;Y.4.5;Y.4.4;Y.4.3;Y.4.2;Y.4.1
Semitruck,1744092671.078,9.123,23,1.700,X.2.19;X.2.18;X.2.17;X.2.16;X.2.15;X.2.14;X.2.13;C.2.6;Y.6.10;Y.6.11;Y.6.12;Y.6.13;Y.6.14;Y.6.15;Y.6.16;C.4.10;C.4.15;X.8.13;X.8.14;X.8.15;X.8.16;X.8.17;X.8.18;X.8.19
Ambulance,1744092679.309,6.002,31,2.900,Y.8.26;Y.8.25;Y.8.24;Y.8.23;Y.8.22;Y.8.21;Y.8.20;Y.8.19;Y.8.18;Y.8.17;C.4.16;C.4.12;C.4.8;Y.8.16;Y.8.15;Y.8.14;Y.8.13;Y.8.12;Y.8.11;Y.8.10;C.2.16;C.2.12;C.2.8;Y.8.9;Y.8.8;Y.8.7;Y.8.6;Y.8.5;Y.8.4;Y.8.3;Y.8.2;Y.8.1
Car,1744092677.539,8.186,27,2.000,X.7.1;X.7.2;X.7.3;X.7.4;X.7.5;X.7.6;X.7.7;C.3.11;C.3.8;Y.4.16;Y.4.15;Y.4.14;Y.4.13;Y.4.12;Y.4.11;Y.4.10;C.1.16;C.1.12;C.1.8;Y.4.9;Y.4.8;Y.4.7;Y.4.6;Y.4.5;Y.4.4;Y.4.3;Y.4.2;Y.4.1
Bulldozer,1744092676.002,10.397,25,1.500,Y.2.1;Y.2.2;Y.2.3;Y.2.4;Y.2.5;Y.2.6;Y.2.7;Y.2.8;Y.2.9;C.1.10;C.1.15;X.4.8;X.4.9;X.4.10;X.4.11;X.4.12;C.2.13;C.2.14;C.2.15;X.4.13;X.4.14;X.4.15;X.4.16;X.4.17;X.4.18;X.4.19
Motorcycle,1744092680.547,5.947,24,2.800,Y.2.1;Y.2.2;Y.2.3;Y.2.4;Y.2.5;Y.2.6;Y.2.7;Y.2.8;Y.2.9;C.1.10;X.3.8;X.3.9;X.3.10;X.3.11;X.3.12;C.2.11;Y.7.9;Y.7.8;Y.7.7;Y.7.6;Y.7.5;Y.7.4;Y.7.3;Y.7.2;Y.7.1
Bulldozer,1744092682.307,5.748,16,1.500,X.1.19;X.1.18;X.1.17;X.1.16;X.1.15;X.1.14;X.1.13;C.2.18;Y.8.9;Y.8.8;Y.8.7;Y.8.6;Y.8.5;Y.8.4;Y.8.3;Y.8.2;Y.8.1
