VehicleType,SpawnTime,ElapsedTime,NodesPassedCount,Speed,NodesSequence
Bulldozer,1744078748.641,14.951,16,0.800,X.3.1;X.3.2;X.3.3;X.3.4;X.3.5;X.3.6;X.3.7;C.1.11;Y.3.9;Y.3.8;Y.3.7;Y.3.6;Y.3.5;Y.3.4;Y.3.3;Y.3.2;Y.3.1
Police_Car,1744078753.940,9.669,26,1.500,X.5.19;X.5.18;X.5.17;X.5.16;X.5.15;X.5.14;X.5.13;C.4.18;Y.8.16;Y.8.15;Y.8.14;Y.8.13;Y.8.12;Y.8.11;Y.8.10;C.2.16;C.2.12;C.2.8;Y.8.9;Y.8.8;Y.8.7;Y.8.6;Y.8.5;Y.8.4;Y.8.3;Y.8.2;Y.8.1
Ambulance,1744078752.566,11.490,26,1.250,Y.4.26;Y.4.25;Y.4.24;Y.4.23;Y.4.22;Y.4.21;Y.4.20;Y.4.19;Y.4.18;Y.4.17;C.3.20;X.8.8;X.8.9;X.8.10;X.8.11;X.8.12;C.4.19;Y.5.17;Y.5.18;Y.5.19;Y.5.20;Y.5.21;Y.5.22;Y.5.23;Y.5.24;Y.5.25;Y.5.26
Bulldozer,1744078751.247,20.729,28,0.800,X.2.19;X.2.18;X.2.17;X.2.16;X.2.15;X.2.14;X.2.13;C.2.6;C.2.9;Y.5.10;Y.5.11;Y.5.12;Y.5.13;Y.5.14;Y.5.15;Y.5.16;C.4.1;C.4.5;C.4.9;Y.5.17;Y.5.18;Y.5.19;Y.5.20;Y.5.21;Y.5.22;Y.5.23;Y.5.24;Y.5.25;Y.5.26
Truck,1744078757.210,15.606,22,1.000,X.2.19;X.2.18;X.2.17;X.2.16;X.2.15;X.2.14;X.2.13;C.2.6;Y.6.10;Y.6.11;Y.6.12;Y.6.13;Y.6.14;Y.6.15;Y.6.16;C.4.10;X.7.13;X.7.14;X.7.15;X.7.16;X.7.17;X.7.18;X.7.19
Bulldozer,1744078760.296,13.804,18,0.800,X.6.19;X.6.18;X.6.17;X.6.16;X.6.15;X.6.14;X.6.13;C.4.6;C.4.9;Y.5.17;Y.5.18;Y.5.19;Y.5.20;Y.5.21;Y.5.22;Y.5.23;Y.5.24;Y.5.25;Y.5.26
Bulldozer,1744078758.806,17.161,25,0.800,X.8.1;X.8.2;X.8.3;X.8.4;X.8.5;X.8.6;X.8.7;C.3.13;C.3.14;C.3.15;X.8.8;X.8.9;X.8.10;X.8.11;X.8.12;C.4.19;Y.5.17;Y.5.18;Y.5.19;Y.5.20;Y.5.21;Y.5.22;Y.5.23;Y.5.24;Y.5.25;Y.5.26
Police_Car,1744078768.322,8.330,18,1.500,X.6.19;X.6.18;X.6.17;X.6.16;X.6.15;X.6.14;X.6.13;C.4.6;C.4.9;Y.5.17;Y.5.18;Y.5.19;Y.5.20;Y.5.21;Y.5.22;Y.5.23;Y.5.24;Y.5.25;Y.5.26
Bulldozer,1744078764.922,13.367,18,0.800,Y.3.26;Y.3.25;Y.3.24;Y.3.23;Y.3.22;Y.3.21;Y.3.20;Y.3.19;Y.3.18;Y.3.17;C.3.7;C.3.2;X.5.7;X.5.6;X.5.5;X.5.4;X.5.3;X.5.2;X.5.1
Bulldozer,1744078761.661,17.506,25,0.800,X.8.1;X.8.2;X.8.3;X.8.4;X.8.5;X.8.6;X.8.7;C.3.13;C.3.14;C.3.15;X.8.8;X.8.9;X.8.10;X.8.11;X.8.12;C.4.19;Y.5.17;Y.5.18;Y.5.19;Y.5.20;Y.5.21;Y.5.22;Y.5.23;Y.5.24;Y.5.25;Y.5.26
Semitruck,1744078755.672,25.003,31,0.750,X.7.1;X.7.2;X.7.3;X.7.4;X.7.5;X.7.6;X.7.7;C.3.11;C.3.8;Y.4.16;Y.4.15;Y.4.14;Y.4.13;Y.4.12;Y.4.11;Y.4.10;C.1.20;X.4.8;X.4.9;X.4.10;X.4.11;X.4.12;C.2.13;C.2.14;C.2.15;X.4.13;X.4.14;X.4.15;X.4.16;X.4.17;X.4.18;X.4.19
