VehicleType,SpawnTime,ElapsedTime,NodesPassedCount,Speed,NodesSequence
Car,2.25,6.794,17,2.000,Y.8.26;Y.8.25;Y.8.24;Y.8.23;Y.8.22;Y.8.21;Y.8.20;Y.8.19;Y.8.18;Y.8.17;C.4.20;X.8.13;X.8.14;X.8.15;X.8.16;X.8.17;X.8.18;X.8.19
Motorcycle,3.53,5.099,16,2.800,Y.1.1;Y.1.2;Y.1.3;Y.1.4;Y.1.5;Y.1.6;Y.1.7;Y.1.8;Y.1.9;C.1.17;X.1.7;X.1.6;X.1.5;X.1.4;X.1.3;X.1.2;X.1.1
Bulldozer,5.77,13.201,35,1.500,X.4.1;X.4.2;X.4.3;X.4.4;X.4.5;X.4.6;X.4.7;C.1.13;C.1.14;C.1.15;X.4.8;X.4.9;X.4.10;X.4.11;X.4.12;C.2.19;Y.5.10;Y.5.11;Y.5.12;Y.5.13;Y.5.14;Y.5.15;Y.5.16;C.4.1;C.4.5;C.4.9;Y.5.17;Y.5.18;Y.5.19;Y.5.20;Y.5.21;Y.5.22;Y.5.23;Y.5.24;Y.5.25;Y.5.26
Motorcycle,7.25,3.724,17,2.800,Y.6.1;Y.6.2;Y.6.3;Y.6.4;Y.6.5;Y.6.6;Y.6.7;Y.6.8;Y.6.9;C.2.10;C.2.15;X.4.13;X.4.14;X.4.15;X.4.16;X.4.17;X.4.18;X.4.19
Car,8.75,5.548,18,2.000,Y.3.26;Y.3.25;Y.3.24;Y.3.23;Y.3.22;Y.3.21;Y.3.20;Y.3.19;Y.3.18;Y.3.17;C.3.7;C.3.2;X.5.7;X.5.6;X.5.5;X.5.4;X.5.3;X.5.2;X.5.1
Ambulance,10.50,6.637,31,2.900,X.7.1;X.7.2;X.7.3;X.7.4;X.7.5;X.7.6;X.7.7;C.3.11;C.3.8;Y.4.16;Y.4.15;Y.4.14;Y.4.13;Y.4.12;Y.4.11;Y.4.10;C.1.20;X.4.8;X.4.9;X.4.10;X.4.11;X.4.12;C.2.13;C.2.14;C.2.15;X.4.13;X.4.14;X.4.15;X.4.16;X.4.17;X.4.18;X.4.19
Schoolbus,12.21,7.679,24,1.700,Y.5.1;Y.5.2;Y.5.3;Y.5.4;Y.5.5;Y.5.6;Y.5.7;Y.5.8;Y.5.9;C.2.17;X.1.12;X.1.11;X.1.10;X.1.9;X.1.8;C.1.18;Y.4.9;Y.4.8;Y.4.7;Y.4.6;Y.4.5;Y.4.4;Y.4.3;Y.4.2;Y.4.1
Police_Car,14.08,12.325,40,2.000,Y.7.26;Y.7.25;Y.7.24;Y.7.23;Y.7.22;Y.7.21;Y.7.20;Y.7.19;Y.7.18;Y.7.17;C.4.7;C.4.2;X.5.12;X.5.11;X.5.10;X.5.9;X.5.8;C.3.18;Y.4.16;Y.4.15;Y.4.14;Y.4.13;Y.4.12;Y.4.11;Y.4.10;C.1.20;X.4.8;X.4.9;X.4.10;X.4.11;X.4.12;C.2.13;C.2.14;C.2.15;X.4.13;X.4.14;X.4.15;X.4.16;X.4.17;X.4.18;X.4.19
Motorcycle,15.49,11.265,40,2.800,Y.7.26;Y.7.25;Y.7.24;Y.7.23;Y.7.22;Y.7.21;Y.7.20;Y.7.19;Y.7.18;Y.7.17;C.4.7;C.4.2;X.5.12;X.5.11;X.5.10;X.5.9;X.5.8;C.3.18;Y.4.16;Y.4.15;Y.4.14;Y.4.13;Y.4.12;Y.4.11;Y.4.10;C.1.20;X.4.8;X.4.9;X.4.10;X.4.11;X.4.12;C.2.13;C.2.14;C.2.15;X.4.13;X.4.14;X.4.15;X.4.16;X.4.17;X.4.18;X.4.19
Truck,16.89,5.525,25,2.800,Y.2.1;Y.2.2;Y.2.3;Y.2.4;Y.2.5;Y.2.6;Y.2.7;Y.2.8;Y.2.9;C.1.10;C.1.15;X.4.8;X.4.9;X.4.10;X.4.11;X.4.12;C.2.13;C.2.14;C.2.15;X.4.13;X.4.14;X.4.15;X.4.16;X.4.17;X.4.18;X.4.19
