VehicleType,SpawnTime,ElapsedTime,NodesPassedCount,Speed,NodesSequence
Car,1744079624.865,8.525,16,1.000,X.1.19;X.1.18;X.1.17;X.1.16;X.1.15;X.1.14;X.1.13;C.2.18;Y.8.9;Y.8.8;Y.8.7;Y.8.6;Y.8.5;Y.8.4;Y.8.3;Y.8.2;Y.8.1
Motorcycle,1744079626.804,10.612,24,1.250,Y.5.1;Y.5.2;Y.5.3;Y.5.4;Y.5.5;Y.5.6;Y.5.7;Y.5.8;Y.5.9;C.2.17;X.1.12;X.1.11;X.1.10;X.1.9;X.1.8;C.1.18;Y.4.9;Y.4.8;Y.4.7;Y.4.6;Y.4.5;Y.4.4;Y.4.3;Y.4.2;Y.4.1
Motorcycle,1744079628.018,9.666,22,1.250,X.5.19;X.5.18;X.5.17;X.5.16;X.5.15;X.5.14;X.5.13;C.4.18;Y.8.16;Y.8.15;Y.8.14;Y.8.13;Y.8.12;Y.8.11;Y.8.10;C.2.20;X.4.13;X.4.14;X.4.15;X.4.16;X.4.17;X.4.18;X.4.19
Motorcycle,1744079630.725,8.917,18,1.250,X.6.19;X.6.18;X.6.17;X.6.16;X.6.15;X.6.14;X.6.13;C.4.6;C.4.9;Y.5.17;Y.5.18;Y.5.19;Y.5.20;Y.5.21;Y.5.22;Y.5.23;Y.5.24;Y.5.25;Y.5.26
Motorcycle,1744079629.427,14.458,27,1.250,Y.7.26;Y.7.25;Y.7.24;Y.7.23;Y.7.22;Y.7.21;Y.7.20;Y.7.19;Y.7.18;Y.7.17;C.4.7;X.6.12;X.6.11;X.6.10;X.6.9;X.6.8;C.3.6;C.3.9;Y.1.17;Y.1.18;Y.1.19;Y.1.20;Y.1.21;Y.1.22;Y.1.23;Y.1.24;Y.1.25;Y.1.26
Motorcycle,1744079632.219,12.181,22,1.250,X.7.1;X.7.2;X.7.3;X.7.4;X.7.5;X.7.6;X.7.7;C.3.11;Y.3.16;Y.3.15;Y.3.14;Y.3.13;Y.3.12;Y.3.11;Y.3.10;C.1.7;X.2.7;X.2.6;X.2.5;X.2.4;X.2.3;X.2.2;X.2.1
Motorcycle,1744079638.942,8.304,16,1.250,Y.6.1;Y.6.2;Y.6.3;Y.6.4;Y.6.5;Y.6.6;Y.6.7;Y.6.8;Y.6.9;C.2.10;X.3.13;X.3.14;X.3.15;X.3.16;X.3.17;X.3.18;X.3.19
Car,1744079633.838,13.792,24,1.000,X.8.1;X.8.2;X.8.3;X.8.4;X.8.5;X.8.6;X.8.7;C.3.13;C.3.14;C.3.15;X.8.8;X.8.9;X.8.10;X.8.11;X.8.12;C.4.13;C.4.14;C.4.15;X.8.13;X.8.14;X.8.15;X.8.16;X.8.17;X.8.18;X.8.19
Motorcycle,1744079637.205,11.324,25,1.250,Y.4.26;Y.4.25;Y.4.24;Y.4.23;Y.4.22;Y.4.21;Y.4.20;Y.4.19;Y.4.18;Y.4.17;C.3.20;X.8.8;X.8.9;X.8.10;X.8.11;X.8.12;C.4.13;C.4.14;C.4.15;X.8.13;X.8.14;X.8.15;X.8.16;X.8.17;X.8.18;X.8.19
Motorcycle,1744079640.787,11.917,27,1.250,Y.8.26;Y.8.25;Y.8.24;Y.8.23;Y.8.22;Y.8.21;Y.8.20;Y.8.19;Y.8.18;Y.8.17;C.4.16;C.4.12;C.4.8;Y.8.16;Y.8.15;Y.8.14;Y.8.13;Y.8.12;Y.8.11;Y.8.10;C.2.20;X.4.13;X.4.14;X.4.15;X.4.16;X.4.17;X.4.18;X.4.19
Car,1744079635.778,17.968,27,1.000,Y.7.26;Y.7.25;Y.7.24;Y.7.23;Y.7.22;Y.7.21;Y.7.20;Y.7.19;Y.7.18;Y.7.17;C.4.7;X.6.12;X.6.11;X.6.10;X.6.9;X.6.8;C.3.6;C.3.9;Y.1.17;Y.1.18;Y.1.19;Y.1.20;Y.1.21;Y.1.22;Y.1.23;Y.1.24;Y.1.25;Y.1.26
Car,1744079645.157,10.809,18,1.000,Y.3.26;Y.3.25;Y.3.24;Y.3.23;Y.3.22;Y.3.21;Y.3.20;Y.3.19;Y.3.18;Y.3.17;C.3.7;C.3.2;X.5.7;X.5.6;X.5.5;X.5.4;X.5.3;X.5.2;X.5.1
Motorcycle,1744079643.802,12.575,23,1.250,X.2.19;X.2.18;X.2.17;X.2.16;X.2.15;X.2.14;X.2.13;C.2.6;Y.6.10;Y.6.11;Y.6.12;Y.6.13;Y.6.14;Y.6.15;Y.6.16;C.4.10;C.4.15;X.8.13;X.8.14;X.8.15;X.8.16;X.8.17;X.8.18;X.8.19
Motorcycle,1744079646.387,11.031,24,1.250,X.4.1;X.4.2;X.4.3;X.4.4;X.4.5;X.4.6;X.4.7;C.1.13;C.1.14;C.1.15;X.4.8;X.4.9;X.4.10;X.4.11;X.4.12;C.2.13;C.2.14;C.2.15;X.4.13;X.4.14;X.4.15;X.4.16;X.4.17;X.4.18;X.4.19
Ambulance,1744079642.172,18.782,31,1.000,X.7.1;X.7.2;X.7.3;X.7.4;X.7.5;X.7.6;X.7.7;C.3.11;C.3.8;Y.4.16;Y.4.15;Y.4.14;Y.4.13;Y.4.12;Y.4.11;Y.4.10;C.1.20;X.4.8;X.4.9;X.4.10;X.4.11;X.4.12;C.2.13;C.2.14;C.2.15;X.4.13;X.4.14;X.4.15;X.4.16;X.4.17;X.4.18;X.4.19
Car,1744079649.608,13.732,24,1.000,X.1.19;X.1.18;X.1.17;X.1.16;X.1.15;X.1.14;X.1.13;C.2.4;C.2.3;C.2.2;X.1.12;X.1.11;X.1.10;X.1.9;X.1.8;C.1.4;C.1.3;C.1.2;X.1.7;X.1.6;X.1.5;X.1.4;X.1.3;X.1.2;X.1.1
Truck,1744079651.387,14.111,16,0.700,X.3.1;X.3.2;X.3.3;X.3.4;X.3.5;X.3.6;X.3.7;C.1.11;Y.3.9;Y.3.8;Y.3.7;Y.3.6;Y.3.5;Y.3.4;Y.3.3;Y.3.2;Y.3.1
Truck,1744079647.801,19.634,24,0.700,Y.5.1;Y.5.2;Y.5.3;Y.5.4;Y.5.5;Y.5.6;Y.5.7;Y.5.8;Y.5.9;C.2.17;X.1.12;X.1.11;X.1.10;X.1.9;X.1.8;C.1.4;C.1.3;C.1.2;X.1.7;X.1.6;X.1.5;X.1.4;X.1.3;X.1.2;X.1.1
Car,1744079659.078,9.076,17,1.000,Y.8.26;Y.8.25;Y.8.24;Y.8.23;Y.8.22;Y.8.21;Y.8.20;Y.8.19;Y.8.18;Y.8.17;C.4.20;X.8.13;X.8.14;X.8.15;X.8.16;X.8.17;X.8.18;X.8.19
Motorcycle,1744079654.566,13.738,31,1.250,Y.1.1;Y.1.2;Y.1.3;Y.1.4;Y.1.5;Y.1.6;Y.1.7;Y.1.8;Y.1.9;C.1.1;C.1.5;C.1.9;Y.1.10;Y.1.11;Y.1.12;Y.1.13;Y.1.14;Y.1.15;Y.1.16;C.3.1;C.3.5;C.3.9;Y.1.17;Y.1.18;Y.1.19;Y.1.20;Y.1.21;Y.1.22;Y.1.23;Y.1.24;Y.1.25;Y.1.26
Car,1744079655.882,15.802,26,1.000,Y.7.26;Y.7.25;Y.7.24;Y.7.23;Y.7.22;Y.7.21;Y.7.20;Y.7.19;Y.7.18;Y.7.17;C.4.7;C.4.2;X.5.12;X.5.11;X.5.10;X.5.9;X.5.8;C.3.4;C.3.3;C.3.2;X.5.7;X.5.6;X.5.5;X.5.4;X.5.3;X.5.2;X.5.1
Motorcycle,1744079664.354,8.179,16,1.250,X.3.1;X.3.2;X.3.3;X.3.4;X.3.5;X.3.6;X.3.7;C.1.11;Y.3.9;Y.3.8;Y.3.7;Y.3.6;Y.3.5;Y.3.4;Y.3.3;Y.3.2;Y.3.1
Motorcycle,1744079652.839,19.792,42,1.250,X.7.1;X.7.2;X.7.3;X.7.4;X.7.5;X.7.6;X.7.7;C.3.11;C.3.8;Y.4.16;Y.4.15;Y.4.14;Y.4.13;Y.4.12;Y.4.11;Y.4.10;C.1.20;X.4.8;X.4.9;X.4.10;X.4.11;X.4.12;C.2.19;Y.5.10;Y.5.11;Y.5.12;Y.5.13;Y.5.14;Y.5.15;Y.5.16;C.4.1;C.4.5;C.4.9;Y.5.17;Y.5.18;Y.5.19;Y.5.20;Y.5.21;Y.5.22;Y.5.23;Y.5.24;Y.5.25;Y.5.26
Motorcycle,1744079657.560,15.798,27,1.250,Y.7.26;Y.7.25;Y.7.24;Y.7.23;Y.7.22;Y.7.21;Y.7.20;Y.7.19;Y.7.18;Y.7.17;C.4.7;X.6.12;X.6.11;X.6.10;X.6.9;X.6.8;C.3.6;C.3.9;Y.1.17;Y.1.18;Y.1.19;Y.1.20;Y.1.21;Y.1.22;Y.1.23;Y.1.24;Y.1.25;Y.1.26
Truck,1744079661.051,14.866,17,0.700,Y.3.26;Y.3.25;Y.3.24;Y.3.23;Y.3.22;Y.3.21;Y.3.20;Y.3.19;Y.3.18;Y.3.17;C.3.7;X.6.7;X.6.6;X.6.5;X.6.4;X.6.3;X.6.2;X.6.1
Truck,1744079667.465,12.597,17,0.700,Y.8.26;Y.8.25;Y.8.24;Y.8.23;Y.8.22;Y.8.21;Y.8.20;Y.8.19;Y.8.18;Y.8.17;C.4.20;X.8.13;X.8.14;X.8.15;X.8.16;X.8.17;X.8.18;X.8.19
