seed,cam1,cam2,cam3,cam4,cam5,cam6,cam7,cam8,cam9,cam10,cam11,cam12,cam13,cam14,cam15,cam16,cam17,cam18,cam19,cam20,cam21,cam22,cam23,cam24,cam25,cam26,cam27,cam28,cam29,cam30,cam31,cam32,sim_duration,avg_travel_time,vehicles_spawned,tier1,tier2,tier3,t1,t2,t3,t4,t5,t6,t7,t8,t9,t10,t11,t12,t13,t14,t15,t16
820874,44,34,35,29,40,7,35,20,13,10,29,39,7,28,16,29,15,1,18,30,4,4,32,19,6,6,49,13,41,44,0,30,108.8,23.9,727,1.45,1.43,1.02,4.64,4.04,4.1,3.74,4.4,2.42,4.1,3.2,2.78,2.6,3.74,4.34,2.42,3.68,2.96,3.74
19911,26,23,7,37,20,32,31,1,11,35,24,19,44,39,28,28,14,50,20,50,17,50,18,29,19,39,6,20,45,22,27,45,155.1,27.52,876,1.4,1.47,1.34,3.56,3.38,2.42,4.22,3.2,3.92,3.86,2.06,2.66,4.1,3.44,3.14,4.64,4.34,3.68,3.68
908225,5,41,32,44,13,32,14,5,6,23,40,34,2,31,8,46,28,10,21,45,26,46,32,25,37,48,25,4,41,13,10,14,83.33,25.93,801,1.06,1.18,0.51,2.3,4.46,3.92,4.64,2.78,3.92,2.84,2.3,2.36,3.38,4.4,4.04,2.12,3.86,2.48,4.76
564369,16,40,44,38,49,7,35,2,32,11,9,16,50,18,23,24,38,22,13,40,19,25,14,10,10,49,40,11,22,27,8,24,140.98,26.06,786,0.57,0.72,0.77,2.96,4.4,4.64,4.28,4.94,2.42,4.1,2.12,3.92,2.66,2.54,2.96,5.0,3.08,3.38,3.44
103409,41,17,23,45,41,24,32,48,43,41,40,11,29,28,33,48,31,49,34,22,11,34,0,16,49,22,24,47,44,35,20,27,121.11,33.27,1009,0.73,1.3,0.84,4.46,3.02,3.38,4.7,4.46,3.44,3.92,4.88,4.58,4.46,4.4,2.66,3.74,3.68,3.98,4.88
75655,17,22,16,27,33,47,35,41,0,13,23,39,49,16,48,15,27,9,48,4,45,18,11,48,23,31,43,31,48,28,11,46,114.65,29.46,912,1.12,1.01,0.52,3.02,3.32,2.96,3.62,3.98,4.82,4.1,4.46,2.0,2.78,3.38,4.34,4.94,2.96,4.88,2.9
878611,36,30,28,24,11,13,34,24,7,43,14,20,3,30,19,38,31,39,43,28,25,1,40,43,32,26,4,23,31,17,9,19,113.66,25.62,785,1.33,1.42,1.26,4.16,3.8,3.68,3.44,2.66,2.78,4.04,3.44,2.42,4.58,2.84,3.2,2.18,3.8,3.14,4.28
1066,19,29,25,40,20,0,34,46,31,11,21,41,6,11,20,20,34,1,23,23,24,21,15,17,3,46,39,13,21,3,29,19,85.65,23.7,705,0.82,1.08,0.88,3.14,3.74,3.5,4.4,3.2,2.0,4.04,4.76,3.86,2.66,3.26,4.46,2.36,2.66,3.2,3.2
396950,27,7,21,4,50,14,33,1,43,11,30,49,1,7,24,1,13,1,11,33,10,44,47,25,49,15,35,28,27,22,6,8,106.93,22.87,697,0.51,1.13,0.77,3.62,2.42,3.26,2.24,5.0,2.84,3.98,2.06,4.58,2.66,3.8,4.94,2.06,2.42,3.44,2.06
892981,19,3,22,4,48,38,24,44,45,7,26,38,12,20,37,47,38,47,19,2,12,19,5,21,6,21,49,22,1,11,9,6,158.25,24.35,722,1.17,0.96,1.25,3.14,2.18,3.32,2.24,4.88,4.28,3.44,4.64,4.7,2.42,3.56,4.28,2.72,3.2,4.22,4.82
944450,9,9,24,34,1,32,1,18,9,31,20,47,41,12,35,5,9,29,13,1,24,16,17,19,26,3,18,7,6,16,35,1,149.1,17.85,568,0.92,1.04,0.88,2.54,2.54,3.44,4.04,2.06,3.92,2.06,3.08,2.54,3.86,3.2,4.82,4.46,2.72,4.1,2.3
438583,32,7,47,16,27,47,5,31,0,23,26,0,17,7,44,42,12,18,17,20,42,38,15,31,4,34,5,16,11,8,50,18,152.77,23.05,710,1.01,0.7,1.21,3.92,2.42,4.82,2.96,3.62,4.82,2.3,3.86,2.0,3.38,3.56,2.0,3.02,2.42,4.64,4.52
503725,28,12,29,5,38,31,43,40,6,49,1,36,10,8,38,0,32,30,15,8,26,6,36,5,23,34,47,13,19,43,6,5,88.37,23.37,722,1.2,0.98,1.21,3.68,2.72,3.74,2.3,4.28,3.86,4.58,4.4,2.36,4.94,2.06,4.16,2.6,2.48,4.28,2.0
385576,16,7,24,3,12,20,8,21,48,40,4,27,28,45,26,35,34,6,6,37,20,29,42,47,31,2,17,2,10,5,33,7,130.45,22.38,692,1.28,1.32,1.04,2.96,2.42,3.44,2.18,2.72,3.2,2.48,3.26,4.88,4.4,2.24,3.62,3.68,4.7,3.56,4.1
293019,28,30,44,38,49,44,18,43,29,26,1,22,32,48,33,38,8,49,42,48,13,35,18,4,33,0,48,5,5,33,35,25,152.46,30.29,924,1.03,0.78,0.51,3.68,3.8,4.64,4.28,4.94,4.64,3.08,4.58,3.74,3.56,2.06,3.32,3.92,4.88,3.98,4.28
36912,12,11,11,46,27,7,25,25,6,8,16,19,26,50,5,48,45,42,16,25,50,8,25,0,45,24,32,14,11,9,30,22,119.09,23.79,740,0.79,0.64,1.3,2.72,2.66,2.66,4.76,3.62,2.42,3.5,3.5,2.36,2.48,2.96,3.14,3.56,5.0,2.3,4.88
985641,34,31,34,14,29,1,12,32,16,45,26,1,8,29,3,39,42,41,32,37,27,21,50,49,28,6,10,24,42,17,38,5,137.15,26.43,823,0.52,1.39,1.44,4.04,3.86,4.04,2.84,3.74,2.06,2.72,3.92,2.96,4.7,3.56,2.06,2.48,3.74,2.18,4.34
